Wavelength,Transmittance_glass,Transmittance_atm
2.5,0.839149437,0.908578
2.6,0.835802329,0.0238284
2.7,0.801295582,0.0000444
2.8,0.385535879,0.0910069
2.9,0.329836942,0.597605
3,0.363642584,0.882779
3.1,0.375322683,0.718206
3.2,0.353060948,0.606049
3.3,0.318805216,0.526229
3.4,0.307388614,0.708367
3.5,0.294623282,0.967135
3.6,0.301802797,0.956016
3.7,0.31900278,0.970115
3.8,0.334884832,0.943669
3.9,0.342656559,0.875556
4,0.342712723,0.882865
4.1,0.302766855,0.689492
4.2,0.257032643,0.000457886
4.3,0.19568399,2.83E-21
4.4,0.136104642,0.000835645
4.5,0.077055259,0.216027
4.6,0.002106723,0.792686
5,1.42013E-10,0.952104
6,2.18411E-14,0.00155164
7,1.92396E-19,0.0682064
8,0,0.8947611
8.2,0,0.9814845
8.4,0,0.9862654
8.5,0,0.985592
8.7,0,0.9003714
9,0,0.9687002
9.2,0,0.9652203
9.4,0,0.6772811
9.5,0,0.4197413
9.6,0,0.4532114
9.8,0,0.5595276
10,0,0.8480098
10.5,0,0.9999117
11,0,0.9986503
11.5,0,0.9989623
12,0,0.9997846
12.5,0,0.9932281
13,0,0.9576848
13.5,0,0.4204004
14,0,0.5129905
14.5,0,0.000763369
15,0,0
15.5,0,2.72E-09
16,0,0.010415229
16.5,0,0.2806
17,0,0.763351
17.5,0,0.8744142
18,0,0.2713358
18.5,0,0.2917265
19,0,0.933035
19.5,0,0.067876607
20,0,0.2933082
