case_number,name,n_stages,T_amb_c,water productivity (kg/m2/hr),total efficiency (%),absorber temp (C)
1,n=2_T=15C,2,15,0.9,56.69,38.79
2,n=2_T=20C,2,20,0.98,61.75,42.11
3,n=2_T=25C,2,25,1.05,66.46,45.48
4,n=2_T=30C,2,30,1.12,70.73,48.92
5,n=2_T=35C,2,35,1.18,74.51,52.46
6,n=2_T=40C,2,40,1.23,77.75,56.1
7,n=2_T=45C,2,45,1.27,80.46,59.86
8,n=4_T=15C,4,15,1.33,84.15,44.64
9,n=4_T=20C,4,20,1.47,93.13,47.98
10,n=4_T=25C,4,25,1.61,101.87,51.32
11,n=4_T=30C,4,30,1.75,110.22,54.67
12,n=4_T=35C,4,35,1.87,118.03,58.08
13,n=4_T=40C,4,40,1.98,125.23,61.55
14,n=4_T=45C,4,45,2.09,131.81,65.11
15,n=6_T=15C,6,15,1.56,98.2,47.45
16,n=6_T=20C,6,20,1.74,109.97,50.94
17,n=6_T=25C,6,25,1.93,121.73,54.4
18,n=6_T=30C,6,30,2.11,133.27,57.85
19,n=6_T=35C,6,35,2.29,144.43,61.32
20,n=6_T=40C,6,40,2.46,155.09,64.83
21,n=6_T=45C,6,45,2.62,165.27,68.41
22,n=8_T=15C,8,15,1.66,104.98,48.95
23,n=8_T=20C,8,20,1.88,118.56,52.59
24,n=8_T=25C,8,25,2.1,132.36,56.19
25,n=8_T=30C,8,30,2.32,146.19,59.77
26,n=8_T=35C,8,35,2.53,159.86,63.36
27,n=8_T=40C,8,40,2.74,173.26,66.97
28,n=8_T=45C,8,45,2.95,186.42,70.63
29,n=10_T=15C,10,15,1.71,107.7,49.77
30,n=10_T=20C,10,20,1.94,122.3,53.54
31,n=10_T=25C,10,25,2.18,137.35,57.26
32,n=10_T=30C,10,30,2.42,152.65,60.97
33,n=10_T=35C,10,35,2.66,168.03,64.67
34,n=10_T=40C,10,40,2.9,183.37,68.4
35,n=10_T=45C,10,45,3.15,198.77,72.17
36,n=12_T=15C,12,15,1.71,108.21,50.21
37,n=12_T=20C,12,20,1.95,123.25,54.07
38,n=12_T=25C,12,25,2.2,138.91,57.9
39,n=12_T=30C,12,30,2.45,154.99,61.72
40,n=12_T=35C,12,35,2.71,171.36,65.53
41,n=12_T=40C,12,40,2.98,187.91,69.36
42,n=12_T=45C,12,45,3.24,204.82,73.25
